data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8605439,566,NIG22328,22328,"20 October 2021",2021,1,Protests,"Peaceful protest","Protesters (Nigeria)",,6,,,0,60,"Western Africa",Nigeria,"Federal Capital Territory","Abuja Municipal",,Abuja,9.0833,7.5333,1,"The Cable (Nigeria); New Telegraph; Daily Independent (Nigeria)",National,"On 20 October 2021, a group of government supporters staged a counter EndSars protest at the Unity fountain in Abuja (Abuja Municipal, FCT). The protesters state that the Lekki shooting was a hoax and was only a bid to discredit the government. [size=no report]",0,1635193320,NGA
8605440,566,NIG22329,22329,"20 October 2021",2021,1,Protests,"Peaceful protest","Protesters (Nigeria)",#EndSARS,6,,,0,60,"Western Africa",Nigeria,Ondo,"Akure South",,Akure,7.2526,5.1931,1,"Business Day (Nigeria); New Telegraph",National,"On 20 October 2021, youths staged a memorial #EndSARS protest in Akure (Akure South, Ondo). [size=no report]",0,1635193320,NGA
8605441,566,NIG22331,22331,"20 October 2021",2021,1,Protests,"Peaceful protest","Protesters (Nigeria)",#EndSARS,6,,,0,60,"Western Africa",Nigeria,Edo,Oredo,,"Benin City",6.3351,5.6275,1,"Business Day (Nigeria); New Telegraph; Daily Independent (Nigeria)",National,"On 20 October 2021, youths and members of the civil society staged a memorial #EndSARS protest in Benin City (Oredo, Edo) and demanded for the unconditional release of arrested protesters from last year's protest. There was a heavy presence of security men across the city. [size=no report]",0,1635193320,NGA
8605442,566,NIG22332,22332,"20 October 2021",2021,1,Protests,"Protest with intervention","Protesters (Nigeria)","Labour Group (Nigeria); Women (Nigeria)",6,"Police Forces of Nigeria (2015-)",,1,16,"Western Africa",Nigeria,"Cross River","Calabar Municipal",,Calabar,4.9667,8.3333,1,"Daily Post (Nigeria); Cross River Watch",Subnational-National,"On 20 October 2021, hundreds of women protesting over the non-payment of their salaries for six months in Calabar (Calabar Municipal, Cross River) were shot with tear gas by policemen. [size=hundreds]",0,1635193320,NGA
8605443,566,NIG22334,22334,"20 October 2021",2021,1,Battles,"Armed clash","Gungura Communal Militia (Nigeria)",,4,"Buri-Buri Communal Militia (Nigeria)",,4,44,"Western Africa",Nigeria,Bauchi,Ganjuwa,,Ganjuwa,10.8594,10.1688,2,"Daily Trust (Nigeria); Nigeria Punch; Daily Post (Nigeria)",National,"On 20 October 2021, Gungura and Buri-Buri militias clashed in a village in Gungura ward (Ganjuwa, Bauchi), coded as Ganjuwa. An unspecified number of people were killed and properties were destroyed. The police have debunked claims of fatalities from the clash. Fatalities unknown.",0,1635193320,NGA
8605444,566,NIG22335,22335,"20 October 2021",2021,1,Protests,"Peaceful protest","Protesters (Nigeria)",#EndSARS,6,,,0,60,"Western Africa",Nigeria,Oyo,"Ibadan North West",,Ibadan,7.3776,3.9059,1,"Business Day (Nigeria); Daily Independent (Nigeria)",National,"On 20 October 2021, scores of youths staged a memorial #EndSARS protest in Ibadan (Ibadan North West, Oyo). The protesters also demanded for the release of Yoruba nation agitator Sunday Igboho. [size=scores]",0,1635193320,NGA
8605445,566,NIG22337,22337,"20 October 2021",2021,1,Protests,"Protest with intervention","Protesters (Nigeria)","YPP: Young Progressives Party; #EndSARS",6,"Police Forces of Nigeria (2015-)",,1,16,"Western Africa",Nigeria,Kwara,"Ilorin East",,Illorin,8.5,4.55,1,"Daily Independent (Nigeria); Daily Leadership (Nigeria)",National,"On 20 October 2021, over 50 protesters, including from YPP, gathered in commemoration of the #EndSARS protest in Illorin (Ilorin East, Kwara). Police forces intervened and dispersed them. [size=over 50]",0,1635193320,NGA
8605446,566,NIG22338,22338,"20 October 2021",2021,1,"Explosions/Remote violence","Remote explosive/landmine/IED","Islamic State (West Africa) - Lake Chad Faction",Ansaru,2,"Civilians (Nigeria)",,7,27,"Western Africa",Nigeria,Kaduna,Kagarko,,Jere,9.5668,7.4346,2,"Daily Trust (Nigeria); Sun (Nigeria)",National,"On 20 October 2021, suspected ISWAP and Ansaru militants destroyed rail tracks with dynamites and shot at the train conveying passengers to Kaduna from Abuja in an attempt to abduct passengers at the Rijana station. The assailants shot at the train and destroyed parts of it. Location coded as Jere (Kagarko, Kaduna). There were no fatalities.",0,1635193320,NGA
8605447,566,NIG22339,22339,"20 October 2021",2021,1,"Violence against civilians","Abduction/forced disappearance","Niger Communal Militia (Nigeria)",,4,"Civilians (Nigeria)",,7,47,"Western Africa",Nigeria,Niger,Rafi,,Kagara,10.1844,6.2534,2,"Guardian (Nigeria); Daily Independent (Nigeria)",National,"On 20 October 2021, a Niger militia abducted about thirty passengers traveling at Garin-Gabas (Rafi, Niger), coded as Kagara. Other sources reports 13 persons abducted. There are no reports about ransom demands yet.",0,1635193320,NGA
8605448,566,NIG22340,22340,"20 October 2021",2021,1,Protests,"Protest with intervention","Protesters (Nigeria)","#EndSARS; Civilians (Nigeria); Journalists (Nigeria)",6,"Police Forces of Nigeria (2015-)",,1,16,"Western Africa",Nigeria,Lagos,Ibeju-Lekki,,Lekki,6.4148,4.0932,2,"The Cable (Nigeria); Daily Independent (Nigeria); Daily Post (Nigeria)",Subnational-National,"On 20 October 2021, policemen fired teargas and attacked #EndSARS protesters during a memorial protest at the Lekki tollgate (Ibeju-Lekki, Lagos). The protest started as a car procession; the police attacked some protesters and arrested an unspecified number of persons, including journalists, and claimed the attacked persons were armed, the arrested protesters were released. [size=no report]",0,1635193320,NGA
